date,AQI,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Precipitation,Next_Day_AQI
2023-12-28,124.75,46.791666666666664,71.42083333333333,17.333333333333332,22.770833333333332,592.4583333333334,115.5,21.59583333333333,41.791666666666664,0.0,108.125
2023-12-29,108.125,28.8875,43.65833333333333,20.400000000000002,17.079166666666666,510.9583333333333,98.70833333333333,21.454166666666666,41.666666666666664,0.0,84.04166666666667
2023-12-30,84.04166666666667,30.075,45.74166666666667,15.391666666666666,13.558333333333332,488.125,103.16666666666667,21.849999999999998,39.166666666666664,0.0,103.875
2023-12-31,103.875,40.69166666666667,62.95416666666667,15.883333333333333,19.1375,570.3333333333334,108.875,20.683333333333334,43.833333333333336,0.0,114.58333333333333
2024-01-01,114.58333333333333,38.55833333333333,57.59166666666667,17.279166666666665,22.162499999999998,679.0416666666666,111.70833333333333,20.220833333333335,49.5,0.0,107.66666666666667
2024-01-02,107.66666666666667,40.387499999999996,60.1,34.666666666666664,26.145833333333332,898.75,107.25,19.633333333333333,64.125,0.0,122.5
2024-01-03,122.5,40.725,64.1125,28.083333333333332,21.95,677.5416666666666,96.58333333333333,20.779166666666665,55.041666666666664,0.0,104.58333333333333
2024-01-04,104.58333333333333,38.766666666666666,61.87083333333334,16.5,15.966666666666667,495.8333333333333,106.29166666666667,19.9375,45.0,0.0,131.04166666666666
2024-01-05,131.04166666666666,53.9375,90.03750000000001,21.820833333333336,19.754166666666666,642.0,100.95833333333333,19.329166666666666,52.291666666666664,0.0,140.95833333333334
2024-01-06,140.95833333333334,47.5375,76.74166666666666,14.195833333333333,18.458333333333332,633.2083333333334,106.875,19.758333333333333,53.125,0.0,126.875
2024-01-07,126.875,43.479166666666664,66.77083333333333,12.950000000000001,20.591666666666665,692.125,111.20833333333333,19.170833333333334,51.708333333333336,0.0,116.875
2024-01-08,116.875,44.362500000000004,67.23333333333333,28.916666666666668,22.2625,914.125,104.375,19.208333333333332,55.083333333333336,0.0,115.16666666666667
2024-01-09,115.16666666666667,37.12083333333333,58.90833333333333,13.804166666666667,16.679166666666667,622.9583333333334,103.375,19.004166666666666,48.333333333333336,0.0,106.91666666666667
2024-01-10,106.91666666666667,37.125,56.46666666666667,18.8625,19.7,656.5,101.83333333333333,18.279166666666665,45.708333333333336,0.0,93.5
2024-01-11,93.5,33.208333333333336,50.487500000000004,36.541666666666664,22.670833333333334,842.875,74.875,17.854166666666668,50.041666666666664,0.0,104.08333333333333
2024-01-12,104.08333333333333,37.012499999999996,55.137499999999996,54.25,27.95,866.375,59.416666666666664,18.4375,49.958333333333336,0.0,113.33333333333333
2024-01-13,113.33333333333333,34.012499999999996,53.76666666666667,49.00833333333333,13.920833333333334,840.0416666666666,52.625,18.441666666666666,76.125,0.0,79.875
2024-01-14,79.875,29.633333333333336,60.12083333333334,41.170833333333334,14.5375,662.875,71.70833333333333,20.491666666666667,79.625,0.0,133.20833333333334
2024-01-15,133.20833333333334,54.84583333333333,99.8,35.49166666666667,18.8875,819.875,80.83333333333333,19.558333333333334,71.70833333333333,0.0,103.79166666666667
2024-01-16,103.79166666666667,25.308333333333334,67.37083333333334,28.729166666666668,7.266666666666667,438.4166666666667,66.41666666666667,22.21666666666667,78.16666666666667,0.0,96.16666666666667
2024-01-17,96.16666666666667,46.775,88.85000000000001,31.675,20.2375,687.2916666666666,80.16666666666667,22.108333333333334,57.958333333333336,0.0,148.91666666666666
2024-01-18,148.91666666666666,61.11666666666667,96.69583333333333,26.120833333333334,25.974999999999998,871.4166666666666,111.95833333333333,20.65,51.708333333333336,0.0,147.875
2024-01-19,147.875,54.06666666666666,86.81666666666666,46.93333333333334,30.666666666666668,1053.5416666666667,100.70833333333333,20.066666666666666,48.916666666666664,0.0,156.04166666666666
2024-01-20,156.04166666666666,55.85833333333333,93.4875,49.95416666666667,22.875,1182.25,89.0,20.45,78.04166666666667,0.020833333333333332,135.33333333333334
2024-01-21,135.33333333333334,50.72083333333333,86.91666666666667,53.50833333333333,24.516666666666666,1013.375,80.41666666666667,21.141666666666666,62.375,0.0,151.875
2024-01-22,151.875,52.3125,90.925,48.75,20.533333333333335,1023.2083333333334,79.70833333333333,20.208333333333332,66.33333333333333,0.0,110.54166666666667
2024-01-23,110.54166666666667,42.875,80.89166666666667,34.479166666666664,16.95,659.1666666666666,79.79166666666667,20.620833333333334,68.625,0.0,138.54166666666666
2024-01-24,138.54166666666666,54.44583333333333,98.58749999999999,35.00416666666667,27.28333333333333,828.9583333333334,88.70833333333333,18.787499999999998,59.916666666666664,0.0,153.95833333333334
2024-01-25,153.95833333333334,59.604166666666664,105.91666666666667,47.51666666666667,23.087500000000002,1041.5,71.5,19.158333333333335,70.04166666666667,0.0,141.20833333333334
2024-01-26,141.20833333333334,54.81666666666666,92.4375,34.8375,21.037499999999998,804.5416666666666,88.04166666666667,20.245833333333334,60.208333333333336,0.0,152.58333333333334
2024-01-27,152.58333333333334,60.229166666666664,96.16250000000001,26.6375,21.708333333333332,869.2083333333334,109.45833333333333,20.5125,50.291666666666664,0.0,151.95833333333334
2024-01-28,151.95833333333334,54.333333333333336,90.8125,21.525000000000002,19.775000000000002,823.0,100.29166666666667,19.441666666666666,65.875,0.0,113.75
2024-01-29,113.75,23.875,50.05833333333334,18.900000000000002,5.9624999999999995,357.0416666666667,75.83333333333333,22.795833333333334,75.54166666666667,0.016666666666666666,75.75
2024-01-30,75.75,24.224999999999998,74.53750000000001,24.116666666666664,7.258333333333333,375.125,63.375,22.129166666666666,80.95833333333333,0.03333333333333333,77.04166666666667
2024-01-31,77.04166666666667,22.504166666666666,61.4125,20.55,6.3,344.625,71.125,22.7625,79.58333333333333,0.012500000000000002,76.41666666666667
2024-02-01,76.41666666666667,27.925,87.56666666666666,22.695833333333336,9.950000000000001,384.0833333333333,78.29166666666667,22.8875,62.916666666666664,0.0,100.5
2024-02-02,100.5,40.766666666666666,134.66666666666666,27.666666666666668,11.325000000000001,409.9166666666667,59.791666666666664,23.212500000000002,73.25,0.0,116.25
